area_type,availability,location,society,total_sqft,bath,balcony,price,house_size,house_type
Super built-up  Area,Ready To Move,Ganga Nagar,ceove g,600.0,1,0,38.0,1,0
Plot  Area,Ready To Move,Yelahanka,independent,660.0,1,0,48.0,1,1
Super built-up  Area,19-Sep,Kanakpura Road,soazak ,1330.74,2,2,91.79,2,0
Super built-up  Area,Ready To Move,Doddathoguru,lancyre,970.0,2,0,33.0,2,0
Super built-up  Area,20-Sep,Whitefield,goted u,1459.0,2,1,94.82,2,0
Plot  Area,Ready To Move,KR Puram,independent,800.0,1,1,130.0,2,1
Built-up  Area,Ready To Move,Himagiri Meadows,independent,869.0,2,1,36.0,2,0
Super built-up  Area,Ready To Move,Adarsh Nagar,bhncyis,1270.0,2,1,50.0,2,0
Super built-up  Area,18-Mar,Bhoganhalli,rosha i,1670.0,3,1,99.0,3,0
Built-up  Area,Ready To Move,Whitefield,suent v,2010.0,3,2,91.0,3,0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,rothava,1185.0,2,2,75.0,2,0
Super built-up  Area,Ready To Move,Yelahanka,ncowsar,1600.0,2,3,75.0,3,0
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1200.0,2,2,44.0,2,0
Built-up  Area,20-Feb,Devanahalli,brereat,3210.0,5,0,192.0,4,1
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,pebayle,1500.0,2,2,185.0,2,0
Plot  Area,Ready To Move,Murugeshpalya,independent,1407.0,4,1,150.0,6,1
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,independent,840.0,2,2,45.0,2,0
Super built-up  Area,Ready To Move,Ganga Nagar,laavevi,845.0,2,1,55.0,2,0
Built-up  Area,Ready To Move,Varthur,hioratr,1160.0,2,2,44.0,2,0
Super built-up  Area,Ready To Move,Doddathoguru,independent,1100.0,2,1,62.0,2,0
Super built-up  Area,18-Apr,Gunjur,bmineis,1140.0,2,3,43.0,2,0
Super built-up  Area,Ready To Move,Marathahalli,independent,1220.0,2,1,57.0,2,0
Super built-up  Area,Ready To Move,Kanakpura Road,independent,1005.0,2,1,36.68,2,0
Plot  Area,Ready To Move,Double Road,independent,500.0,3,2,100.0,3,1
Super built-up  Area,20-Aug,Begur Road,pruthg ,1358.0,2,1,80.58,2,0
Super built-up  Area,Ready To Move,Hegde Nagar,sonosty,1569.0,3,1,101.0,3,0
Super built-up  Area,18-Apr,Haralur Road,snnia e,1240.0,2,1,70.0,2,0
Super built-up  Area,Ready To Move,Hennur Road,anavi b,2089.0,3,2,140.0,3,0
Super built-up  Area,Ready To Move,Kothannur,independent,1206.0,2,1,48.23,2,0
Super built-up  Area,Ready To Move,Kalena Agrahara,independent,1150.0,2,3,40.0,2,0
Built-up  Area,Ready To Move,Cholanayakanahalli,viony h,2511.0,3,3,205.0,3,0
Built-up  Area,Ready To Move,Kaval Byrasandra,independent,460.0,1,0,22.0,2,0
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,adentel,1660.0,2,2,105.0,3,0
Built-up  Area,18-Oct,Hennur Road,gollela,3203.5,5,0,224.5,4,1
Super built-up  Area,19-Mar,Yelahanka,niareum,1326.0,2,2,78.0,2,0
Super built-up  Area,Ready To Move,Garudachar Palya,independent,1325.0,2,2,60.8,3,0
Super built-up  Area,Ready To Move,EPIP Zone,sjlynro,1499.0,5,2,102.0,3,0
Super built-up  Area,Ready To Move,Kanakpura Road,independent,1665.0,3,2,88.0,3,0
Super built-up  Area,17-Sep,Dasanapura,tavenew,708.0,2,2,37.0,2,0
Super built-up  Area,Ready To Move,Kasavanhalli,srire s,1060.0,2,2,58.06,2,0
Plot  Area,Ready To Move,Rajaji Nagar,independent,710.0,6,3,160.0,6,1
Built-up  Area,Ready To Move,Sanjay nagar,saenti ,1000.0,2,2,70.0,2,0
Super built-up  Area,18-Dec,Electronic City,independent,1000.0,2,1,28.88,2,0
Super built-up  Area,Ready To Move, Mysore Highway,independent,1450.0,2,2,70.0,3,0
Plot  Area,Ready To Move,ISRO Layout,independent,1200.0,4,2,155.0,4,1
Super built-up  Area,17-Aug,Thanisandra,bhmesy ,1296.0,2,3,80.0,2,0
Super built-up  Area,Ready To Move,Domlur,independent,1540.0,3,2,90.0,3,0
Plot  Area,Ready To Move,Kengeri,goardth,2894.0,4,1,245.0,4,1
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,independent,1330.0,2,1,48.0,3,0
Built-up  Area,Ready To Move,Devasthanagalu,independent,1200.0,2,1,65.0,2,0
Built-up  Area,Ready To Move,T Dasarahalli,independent,1200.0,3,1,90.0,3,1
Super built-up  Area,Ready To Move,Yeshwanthpur,ibityin,2502.0,3,3,138.0,3,0
Built-up  Area,Ready To Move,Chandapura,khityry,650.0,1,1,17.0,2,0
Plot  Area,Ready To Move,Kothanur,bdensar,2400.0,2,1,150.0,3,1
Super built-up  Area,Ready To Move,Green View Layout,makeser,1007.0,2,2,43.0,2,0
Super built-up  Area,Ready To Move,Shantiniketan Layout,maest n,1200.0,2,2,50.0,2,0
Super built-up  Area,Ready To Move,Peenya,independent,966.0,2,2,49.9,2,0
Built-up  Area,Ready To Move,Nagarbhavi,independent,1630.0,2,1,98.0,3,0
Built-up  Area,Ready To Move,Rajaji Nagar,brway g,1640.0,3,2,229.0,3,0
Built-up  Area,Ready To Move,Jalahalli West,independent,782.0,2,2,55.68,2,0
Super built-up  Area,19-Apr,Devanahalli,oznuean,1260.0,2,2,66.78,2,0
Super built-up  Area,Ready To Move,Lakshmiamma Garden,independent,1800.0,3,3,120.0,3,0
Super built-up  Area,Ready To Move,Byatarayanapura,reeroce,1413.0,2,2,75.0,3,0
Super built-up  Area,Ready To Move,Whitefield,sonviik,1116.0,2,1,51.91,2,0
Super built-up  Area,Ready To Move,Electronic City,dsgmax ,1530.0,2,1,45.9,3,0
Built-up  Area,Ready To Move,Ramamurthy Nagar,independent,3700.0,4,1,225.0,4,1
Built-up  Area,Ready To Move,Sarjapur  Road,cetattu,2497.0,3,2,140.0,3,1
Super built-up  Area,Ready To Move,Kengeri,vaens g,1540.0,2,3,64.0,3,0
Super built-up  Area,18-Dec,Thanisandra,independent,1436.0,3,1,74.75,3,0
Super built-up  Area,18-Jun,Malleshwaram,independent,1100.0,2,2,75.0,2,0
Plot  Area,Ready To Move,Hennur Road,independent,276.0,3,3,23.0,2,1
Super built-up  Area,Ready To Move,Thanisandra,moity s,1427.0,3,2,120.0,3,0
Super built-up  Area,Ready To Move,Akshaya Nagar,hiahsla,2061.0,3,1,225.0,3,0
Built-up  Area,Ready To Move,Shampura,independent,2650.0,4,2,150.0,4,0
Super built-up  Area,22-Dec,Devanahalli,sabixtt,1282.0,2,2,68.52,3,0
Built-up  Area,Ready To Move,Kadugodi,independent,1050.0,2,1,34.0,2,0
Built-up  Area,Ready To Move,LB Shastri Nagar,sragei ,1600.0,3,2,65.0,3,0
Super built-up  Area,22-Jan,Vajarahalli,independent,945.0,2,1,54.0,2,0
Super built-up  Area,Ready To Move,Hormavu,syidacr,1500.0,2,1,78.0,2,0
Built-up  Area,Ready To Move,Peenya,jahts h,1870.0,3,3,110.0,3,0
Plot  Area,Ready To Move,Sarjapur,inensba,1600.0,3,1,75.0,3,1
Super built-up  Area,Ready To Move,Electronic City,itelaa ,880.0,1,1,16.5,2,0
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,independent,1200.0,4,0,210.0,4,1
Super built-up  Area,Ready To Move,Kudlu Gate,srier p,1535.0,3,2,83.0,3,0
Built-up  Area,Ready To Move,Kanakpura Road,wiowsri,950.0,2,1,57.0,2,0
Super built-up  Area,18-Aug,Devanahalli,derdsig,1360.0,2,1,65.0,2,0
Super built-up  Area,19-Mar,8th Phase JP Nagar,vaarech,1073.5,2,0,54.01,2,0
Super built-up  Area,18-May,Bommasandra Industrial Area,independent,1280.0,3,1,50.4,3,0
Super built-up  Area,19-Jan,Chandra Layout,tiaksaa,1260.0,2,2,85.05,3,0
Super built-up  Area,19-Dec,Yelahanka,ledorsa,3050.0,5,1,213.0,5,0
Super built-up  Area,Ready To Move,Kasavanhalli,hmwerco,1563.05,3,1,105.0,3,0
Super built-up  Area,Ready To Move,ISRO Layout,independent,1000.0,2,1,60.0,2,0
Super built-up  Area,17-Jul,Anandapura,viensrk,1167.0,2,1,43.76,2,0
Super built-up  Area,Ready To Move,Kothanur,somumys,1828.0,3,0,110.0,3,0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,hoiewla,890.0,2,1,35.0,2,0
Super built-up  Area,Ready To Move,Basavanapura,dwity t,1612.0,3,3,46.74,3,0
Plot  Area,Ready To Move,Dinnur,independent,1034.0,5,0,185.0,6,1
Super built-up  Area,19-Apr,Mysore Road,brama p,1710.0,4,2,91.31,3,0
Super built-up  Area,Ready To Move,Kannamangala,vbownre,957.0,2,1,58.0,2,0
Super built-up  Area,18-May, Devarachikkanahalli,independent,1250.0,2,3,44.0,3,0
Super built-up  Area,Ready To Move,Sanjeevini Nagar,betatsi,2795.0,4,0,235.0,3,0
Super built-up  Area,Ready To Move,Hulimavu,prcan p,1125.0,2,2,50.0,2,0
Super built-up  Area,18-Jul,Electronic City Phase II,sryalan,1020.0,2,1,30.6,2,0
Super built-up  Area,Ready To Move,Kalena Agrahara,independent,1200.0,2,2,50.0,2,0
Super built-up  Area,Ready To Move,Thanisandra,soitya ,1735.0,3,3,135.0,3,0
Super built-up  Area,Ready To Move,Thanisandra,g conth,2050.0,3,1,145.0,3,0
Built-up  Area,Ready To Move,Yarandahalli,independent,1350.0,2,3,48.0,3,0
Super built-up  Area,18-May,Hosa Road,sstusan,1063.0,2,1,32.0,2,0
Super built-up  Area,Ready To Move,Keshava Nagar,etens g,1904.0,3,1,150.0,3,0
Super built-up  Area,Ready To Move,RMV Extension,hohnari,2000.0,3,1,175.0,3,0
Super built-up  Area,18-Dec,Sarjapur,kinuerg,1242.5,2,0,43.49,2,0
Super built-up  Area,Ready To Move,Tejaswini Nagar,naods w,1425.0,2,2,75.0,3,0
Super built-up  Area,Ready To Move,Electronic City,gmown e,1500.0,2,1,64.5,3,0
Built-up  Area,Ready To Move,Electronic City,gmown e,1060.0,2,1,60.0,2,0
Built-up  Area,Ready To Move,Jai Bheema Nagar,sancyra,1470.0,2,2,70.0,3,0
Super built-up  Area,Ready To Move,Kothnur Narayanapura,independent,1300.0,6,0,99.0,6,0
Super built-up  Area,Ready To Move,Attibele,jae 1hu,450.0,1,1,11.0,1,0
Super built-up  Area,18-Apr,Electronic City,prarkun,1152.0,2,1,64.5,2,0
Super built-up  Area,Ready To Move,Electronic City,gmown e,1350.0,2,1,56.0,3,0
Super built-up  Area,Ready To Move,CV Raman Nagar,srshq t,1550.0,3,3,65.0,3,0
Plot  Area,Ready To Move,CHIKKATIRUPATHI,independent,1500.0,3,2,100.0,3,1
Plot  Area,Ready To Move,Kumaraswami Layout,independent,600.0,3,2,85.0,5,1
Plot  Area,Ready To Move,Nagavara,independent,400.0,1,0,14.0,1,1
Super built-up  Area,Ready To Move,Malleshwaram,utntspa,705.0,1,2,67.0,1,0
Built-up  Area,Ready To Move,Electronic City,gmown e,770.0,1,1,36.0,2,0
Super built-up  Area,Ready To Move,Hulimavu,aniona ,1242.0,2,3,51.0,2,0
Super built-up  Area,Ready To Move,Hebbal Kempapura,goateds,1700.0,3,2,155.0,3,0
Super built-up  Area,Ready To Move,Thanisandra,soitya ,2144.0,3,2,145.0,3,0
Super built-up  Area,21-Jun,Vijayanagar,saahaat,1704.0,3,2,110.0,3,0
Super built-up  Area,Ready To Move,Electronic City,gmown e,1070.0,2,1,52.0,2,0
Plot  Area,Ready To Move,8th block Koramangala,independent,1846.0,3,2,300.0,3,1
Super built-up  Area,Ready To Move,Jakkuru Layout,independent,1340.0,2,2,55.7,2,0
Built-up  Area,Ready To Move,Electronic City,gmown e,1025.0,2,1,46.0,2,0
Super built-up  Area,Ready To Move,KR Puram,mcvarar,1277.5,2,0,56.8,2,0
Super built-up  Area,Ready To Move,Marathahalli,vrave e,1200.0,2,2,52.0,2,0
Built-up  Area,18-Dec,Kanakpura Road,independent,2250.0,4,1,110.0,4,1
Super built-up  Area,Ready To Move,Pattandur Agrahara,maidopl,1550.0,2,3,80.0,3,0
Plot  Area,Ready To Move,Bellandur,independent,1200.0,5,0,325.0,4,1
Super built-up  Area,Ready To Move,Marathahalli,aiitya ,1200.0,2,2,60.0,2,0
Super built-up  Area,Ready To Move,Yelahanka,puziave,1327.0,2,2,98.0,2,0
Super built-up  Area,Ready To Move,Kothanur,independent,1186.0,2,2,58.0,2,0
Built-up  Area,Ready To Move,MS Pallya,independent,1783.0,3,1,115.0,3,1
Super built-up  Area,Ready To Move,HSR Layout,nrosete,1400.0,3,2,56.0,3,0
Super built-up  Area,Ready To Move,Nagasandra,independent,980.0,2,1,48.0,2,0
Super built-up  Area,Ready To Move,EPIP Zone,independent,1285.0,2,2,82.0,2,0
Super built-up  Area,Ready To Move,Langford Town,independent,912.0,2,1,70.0,3,0
Built-up  Area,Ready To Move,Whitefield,sancya ,1225.0,2,2,47.6,2,0
Super built-up  Area,Ready To Move,Whitefield,independent,1075.0,2,1,53.0,2,0
Built-up  Area,Ready To Move,Kadugodi,msingco,1260.0,2,2,54.0,3,0
Super built-up  Area,Ready To Move,Yelahanka,pyikad ,1282.0,2,2,48.7,3,0
Super built-up  Area,Ready To Move,Kogilu,cairscr,1909.0,3,2,88.0,3,0
Super built-up  Area,Ready To Move,Panathur,prcesvy,1359.0,2,1,87.0,2,0
Built-up  Area,Ready To Move,Nagondanahalli,independent,1207.0,2,2,43.5,2,0
Plot  Area,Ready To Move,Padmanabhanagar,independent,1736.0,6,0,190.0,4,1
Super built-up  Area,20-May,1st Block Jayanagar,independent,2850.0,4,1,428.0,4,0
Super built-up  Area,Ready To Move,Kammasandra,emstael,1595.0,3,2,65.0,3,0
Built-up  Area,18-Jun,"Off Sarjapur Road, ",independent,1798.0,3,2,89.0,3,0
Super built-up  Area,Ready To Move,Electronics City Phase 1,sndri n,1475.0,3,2,78.29,3,0
Super built-up  Area,Ready To Move,Tala Cauvery Layout,hodhisa,1580.0,3,3,100.0,3,0
Super built-up  Area,Ready To Move,Dasarahalli,syonyph,1295.0,2,1,65.0,2,0
Built-up  Area,Ready To Move,Magadi Road,independent,3600.0,6,0,141.0,6,1
Super built-up  Area,Ready To Move,Electronic City,itvir m,589.0,1,1,27.0,1,0
Super built-up  Area,Ready To Move,Ngef Layout,independent,1415.0,3,3,78.0,3,0
Super built-up  Area,18-Dec,Sarjapur  Road,klark l,1787.0,3,2,98.29,3,0
Super built-up  Area,Ready To Move,Sarjapur  Road,klark l,1787.0,3,2,125.0,3,0
Super built-up  Area,Ready To Move,Koramangala,piityra,1475.0,2,3,90.0,3,0
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",independent,2000.0,4,1,75.5,4,0
Super built-up  Area,19-Mar,Sarjapur  Road,asastde,984.0,2,1,44.28,2,0
Super built-up  Area,19-Dec,Devanahalli,jurdsig,1630.0,3,0,74.82,3,0
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,maclek ,2405.0,4,2,260.0,3,0
Built-up  Area,Ready To Move,7th Phase JP Nagar,brnia g,1080.0,2,2,72.0,2,0
Plot  Area,Ready To Move,Shantiniketan Layout,independent,1500.0,2,1,115.0,2,1
Super built-up  Area,Ready To Move,Hebbal,independent,1900.0,3,2,119.0,3,0
Super built-up  Area,19-Aug,Dommasandra,independent,805.0,2,1,22.14,2,0
Super built-up  Area,Ready To Move,Budigere,pritytr,1153.0,2,2,56.4,2,0
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,alecone,1148.0,2,2,60.0,2,0
Super built-up  Area,Ready To Move,Mylasandra,laowsba,1110.0,2,2,55.0,2,0
Built-up  Area,Ready To Move,Electronic City,saave r,1100.0,2,2,42.0,2,0
Super built-up  Area,Ready To Move,Kalyan nagar,anave s,1290.0,2,2,110.0,2,0
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,independent,1500.0,2,1,65.0,3,0
Super built-up  Area,18-Apr,Bank Of Baroda Colony,independent,1080.0,2,2,39.0,2,0
Super built-up  Area,21-Jun,Vijayanagar,saityat,1933.0,3,1,129.0,3,0
Built-up  Area,Ready To Move,Ramamurthy Nagar,independent,3500.0,5,2,150.0,5,1
Built-up  Area,Ready To Move,Kullappa Colony,independent,1060.0,2,2,60.0,2,0
Super built-up  Area,18-Aug,Chandapura,suncees,645.0,1,1,16.45,1,0
Super built-up  Area,18-Sep,Chandapura,suncees,645.0,1,1,16.45,1,0
Super built-up  Area,Ready To Move,Ashwath Nagar,sjcerpe,1644.0,3,3,84.0,3,0
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,supams ,1285.0,2,3,72.5,2,0
Plot  Area,Ready To Move,Electronic City,independent,1200.0,3,1,90.0,3,1
Super built-up  Area,Ready To Move,Electronic City,coapeso,910.0,2,1,40.0,2,0
Super built-up  Area,Ready To Move,Kothanur,bisic c,1577.0,3,1,70.0,3,0
Super built-up  Area,Ready To Move,OMBR Layout,inntsa ,2420.0,3,2,185.0,3,0
Super built-up  Area,Ready To Move,Chandapura,khityry,800.0,1,1,20.0,2,0
Built-up  Area,Ready To Move,Anand Nagar,independent,1060.0,2,2,55.0,2,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,briummi,1270.0,2,2,93.0,2,0
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,independent,900.0,2,2,22.5,2,0
Built-up  Area,Ready To Move,Kundalahalli Colony,independent,1280.0,2,1,69.0,2,1
Plot  Area,Ready To Move,Horamavu Agara,independent,1200.0,2,0,95.0,4,1
Built-up  Area,Ready To Move,Sarjapur  Road,independent,1025.0,2,2,36.0,2,0
Super built-up  Area,17-Jun,Electronic City,prarkun,1108.0,2,1,63.0,2,0
Plot  Area,Ready To Move,MCECHS  layout,independent,1200.0,5,0,170.0,5,1
Super built-up  Area,Ready To Move,Coffee Board Layout,calyxy ,3045.0,3,2,170.0,3,0
Plot  Area,Ready To Move,Ambedkar Nagar,thessrm,2900.0,3,2,300.0,4,1
Super built-up  Area,Ready To Move,Vijayanagar,jjortom,1500.0,3,2,75.5,3,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1295.0,2,2,43.9,2,0
Super built-up  Area,Ready To Move,Budigere,pritytr,1162.0,2,1,59.9,2,0
Super built-up  Area,Ready To Move,Sarjapur  Road,usquaya,1035.0,2,2,49.2,2,0
Built-up  Area,Ready To Move,Attibele,natic t,1600.0,4,0,52.8,4,1
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,independent,1464.0,3,2,46.0,3,0
Super built-up  Area,18-Oct,Hennur Road,dsapesk,1866.0,2,2,61.58,3,0
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,jahtsa ,700.0,1,1,26.0,2,0
Super built-up  Area,Ready To Move,Kalena Agrahara,prillot,1804.0,3,2,120.0,3,0
Super built-up  Area,Ready To Move,Sarjapur,independent,913.0,2,1,32.0,2,0
Super built-up  Area,21-Dec,Talaghattapura,sodgere,1868.0,3,2,131.0,3,0
Built-up  Area,Ready To Move,Kengeri Satellite Town,independent,883.0,2,1,45.0,2,0
Plot  Area,Ready To Move,Sundara Nagar,independent,900.0,2,1,110.0,2,1
Super built-up  Area,Ready To Move,Kogilu,independent,1664.0,2,3,73.95,3,0
Super built-up  Area,Ready To Move,Hegde Nagar,soitaca,2026.0,3,2,132.0,3,0
Super built-up  Area,Ready To Move,Balagere,soestin,1210.0,2,1,80.9,2,0
Super built-up  Area,Ready To Move,Kadugodi,alestrb,1762.0,3,3,91.45,3,0
Super built-up  Area,Ready To Move,Jigani,dlhtsen,1252.0,3,3,55.0,3,0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,mauner ,861.0,2,1,34.5,2,0
Built-up  Area,Ready To Move,7th Phase JP Nagar,brnia g,1420.0,2,1,100.0,3,0
Plot  Area,Ready To Move,Srirampura,independent,1450.0,6,0,250.0,6,1
Built-up  Area,Ready To Move,Electronics City Phase 1,gaicave,1490.0,3,1,78.8,3,0
Super built-up  Area,Ready To Move,Bisuvanahalli,independent,1075.0,2,1,46.0,3,0
Super built-up  Area,18-Aug,Old Madras Road,saesttt,1425.0,2,2,94.0,3,0
Built-up  Area,Ready To Move,Kalena Agrahara,nae 2el,1200.0,2,1,40.0,2,0
Super built-up  Area,Ready To Move,Kaggadasapura,independent,1280.0,2,2,56.0,3,0
Super built-up  Area,Ready To Move,Silver Springs Layout,bhinglv,1084.0,2,2,50.0,2,0
Super built-up  Area,18-Jul,Chandapura,suncees,1015.0,2,2,25.88,2,0
Super built-up  Area,21-May,Kanakpura Road,golusli,1017.0,2,1,51.25,2,0
Super built-up  Area,Ready To Move,Haralur Road,independent,1027.0,2,2,44.0,2,0
Super built-up  Area,Ready To Move,Electronic City Phase II,coush w,1069.0,2,2,45.0,2,0
Super built-up  Area,Ready To Move,Hebbal,prersis,1349.0,2,1,98.2,2,0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,naensga,1005.0,2,1,50.0,2,0
Super built-up  Area,Ready To Move,Jakkur,arzzo p,1417.0,2,3,75.0,2,0
Plot  Area,18-Jan,TC Palaya,independent,1475.0,3,1,98.0,3,1
Carpet  Area,Ready To Move,Maruthi Sevanagar,smikaay,950.0,2,2,47.0,2,0
Super built-up  Area,Ready To Move,RMV 2nd Stage,prave e,2000.0,4,0,120.0,4,0
Plot  Area,Ready To Move,Giri Nagar,independent,880.0,3,1,140.0,3,1
Super built-up  Area,Ready To Move,Sarjapur  Road,ahriaup,1863.0,3,2,104.0,4,0
Super built-up  Area,Ready To Move,Singasandra,priewhi,1010.0,2,1,29.5,2,0
Super built-up  Area,Ready To Move,Kalena Agrahara,shodsth,1425.0,2,1,70.0,3,0
Super built-up  Area,Ready To Move,Vijayanagar,swadeh ,1450.0,3,0,100.0,3,0
Super built-up  Area,Ready To Move,Kothanur,somumys,1847.0,3,2,105.0,3,0
Super built-up  Area,Ready To Move,AECS Layout,soran u,1100.0,2,3,45.0,2,0
Super built-up  Area,20-Dec,Kanakpura Road,prarepa,525.0,1,1,26.0,1,0
Super built-up  Area,Ready To Move,Mallasandra,puestig,1665.0,3,2,95.0,3,0
Super built-up  Area,Ready To Move,Begur,prntsrt,1664.0,4,3,65.0,4,0
Super built-up  Area,Ready To Move,JP Nagar,maerar ,1850.0,3,3,150.0,3,0
Super built-up  Area,Ready To Move,Panathur,vaesh t,1438.0,2,3,100.0,2,0
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,maisepa,1560.0,3,3,115.0,3,0
Super built-up  Area,18-Apr,Yelahanka,independent,1350.0,2,1,55.55,2,0
Super built-up  Area,Ready To Move,Kanakpura Road,jrrnauv,1550.0,3,3,67.0,3,0
Super built-up  Area,18-Apr,Malleshpalya,independent,1140.0,2,2,46.5,2,0
Plot  Area,Ready To Move,Srirampura,independent,1200.0,5,2,180.0,5,1
Super built-up  Area,18-Dec,Kodathi,independent,850.0,2,2,27.0,2,0
Super built-up  Area,Ready To Move,Whitefield,gotis a,1280.0,2,2,75.0,2,0
Built-up  Area,Ready To Move,Munnekollal,independent,1170.0,2,2,52.0,2,0
Super built-up  Area,Ready To Move,Motappa Layout,puodse ,1113.0,2,1,51.0,2,0
Super built-up  Area,Ready To Move,Hennur Road,mileeou,1385.0,2,1,83.09,2,0
Super built-up  Area,18-Apr,Electronic City,prarkun,1128.0,2,1,65.0,2,0
Plot  Area,Ready To Move,Marathahalli,independent,1200.0,2,2,128.0,2,1
Plot  Area,Ready To Move,Akshaya Vana,independent,1200.0,4,3,165.0,4,1
Super built-up  Area,Ready To Move,Rajaji Nagar,pheston,2390.0,3,2,415.0,3,0
Plot  Area,Ready To Move,Giri Nagar,independent,2400.0,4,1,400.0,4,1
Super built-up  Area,Ready To Move,Haralur Road,nrowse ,1464.0,3,2,56.0,3,0
