iter	Passed	Remaining
611	3777	2394
612	3780	2386
613	3784	2379
614	3788	2371
615	3791	2363
616	3794	2355
617	3798	2347
618	3801	2340
619	3806	2333
620	3810	2325
621	3814	2317
622	3816	2309
623	3819	2301
624	3821	2293
625	3824	2285
626	3827	2277
627	3831	2269
628	3834	2261
629	3837	2253
630	3840	2245
631	3842	2237
632	3846	2230
633	3850	2222
634	3855	2216
635	3860	2209
636	3865	2202
637	3871	2196
638	3877	2190
639	3882	2183
640	3888	2177
641	3893	2171
642	3896	2163
643	3899	2155
644	3902	2147
645	3904	2139
646	3907	2132
647	3911	2124
648	3914	2117
649	3917	2109
650	3920	2101
651	3923	2094
652	3927	2086
653	3931	2079
654	3934	2072
655	3936	2064
656	3940	2056
657	3943	2049
658	3946	2041
659	3948	2034
660	3951	2026
661	3954	2019
662	3957	2011
663	3960	2004
664	3963	1996
665	3967	1989
666	3970	1982
667	3974	1975
668	3977	1968
669	3980	1960
670	3983	1953
671	3986	1945
672	3989	1938
673	3992	1930
674	3995	1923
675	3998	1916
676	4001	1908
677	4003	1901
678	4006	1894
679	4009	1886
680	4012	1879
681	4015	1872
682	4017	1864
683	4021	1857
684	4024	1850
685	4027	1843
686	4030	1836
687	4032	1828
688	4035	1821
689	4039	1814
690	4042	1807
691	4045	1800
692	4047	1793
693	4050	1786
694	4053	1778
695	4056	1771
696	4059	1764
697	4062	1757
698	4064	1750
699	4069	1743
700	4073	1737
701	4077	1730
702	4079	1723
703	4082	1716
704	4085	1709
705	4089	1702
706	4091	1695
707	4094	1688
708	4097	1681
709	4100	1674
710	4103	1667
711	4106	1660
712	4109	1654
713	4112	1647
714	4115	1640
715	4118	1633
716	4121	1626
717	4124	1619
718	4127	1613
719	4130	1606
720	4132	1599
721	4136	1592
722	4139	1585
723	4142	1579
724	4145	1572
725	4148	1565
726	4151	1558
727	4154	1552
728	4156	1545
729	4159	1538
730	4162	1531
731	4166	1525
732	4169	1518
733	4172	1512
734	4176	1505
735	4179	1499
736	4183	1492
737	4186	1486
738	4189	1479
739	4192	1472
740	4195	1466
741	4198	1459
742	4201	1453
743	4204	1446
744	4207	1440
745	4210	1433
746	4215	1427
747	4219	1421
748	4222	1415
749	4225	1408
750	4230	1402
751	4234	1396
752	4237	1389
753	4239	1383
754	4243	1376
755	4246	1370
756	4250	1364
757	4253	1357
758	4256	1351
759	4260	1345
760	4263	1338
761	4266	1332
762	4269	1326
763	4271	1319
764	4275	1313
765	4279	1307
766	4282	1300
767	4285	1294
768	4288	1288
769	4291	1281
770	4294	1275
771	4297	1269
772	4300	1262
773	4303	1256
774	4306	1250
775	4308	1243
776	4312	1237
777	4315	1231
778	4318	1225
779	4321	1218
780	4323	1212
781	4327	1206
782	4330	1200
783	4333	1193
784	4336	1187
785	4339	1181
786	4342	1175
787	4345	1169
788	4348	1162
789	4351	1156
790	4354	1150
791	4357	1144
792	4361	1138
793	4365	1132
794	4368	1126
795	4371	1120
796	4374	1114
797	4378	1108
798	4381	1102
799	4383	1095
800	4386	1089
801	4390	1083
802	4395	1078
803	4400	1072
804	4405	1067
805	4408	1061
806	4412	1055
807	4416	1049
808	4419	1043
809	4422	1037
810	4425	1031
811	4431	1026
812	4436	1020
813	4439	1014
814	4442	1008
815	4445	1002
816	4448	996
817	4451	990
818	4455	984
819	4457	978
820	4460	972
821	4462	966
822	4465	960
823	4467	954
824	4470	948
825	4473	942
826	4475	936
827	4478	930
828	4480	924
829	4483	918
830	4486	912
831	4489	906
832	4492	900
833	4494	894
834	4497	888
835	4499	882
836	4502	876
837	4505	870
838	4507	864
839	4509	859
840	4512	853
841	4515	847
842	4517	841
843	4520	835
844	4522	829
845	4525	823
846	4529	818
847	4532	812
848	4534	806
849	4537	800
850	4539	794
851	4542	789
852	4545	783
853	4548	777
854	4551	771
855	4554	766
856	4557	760
857	4560	754
858	4563	749
859	4566	743
860	4568	737
861	4571	731
862	4573	726
863	4576	720
864	4578	714
865	4580	708
866	4583	703
867	4586	697
868	4588	691
869	4591	686
870	4594	680
871	4597	674
872	4600	669
873	4603	663
874	4606	658
875	4608	652
876	4610	646
877	4613	640
878	4616	635
879	4618	629
880	4621	624
881	4623	618
882	4625	612
883	4627	607
884	4630	601
885	4633	596
886	4637	590
887	4642	585
888	4647	580
889	4650	574
890	4655	569
891	4661	564
892	4664	558
893	4668	553
894	4674	548
895	4677	542
896	4681	537
897	4686	532
898	4691	527
899	4695	521
900	4700	516
901	4704	511
902	4708	505
903	4712	500
904	4716	495
905	4721	489
906	4725	484
907	4729	479
908	4733	473
909	4738	468
910	4742	463
911	4747	458
912	4752	452
913	4756	447
914	4759	442
915	4763	436
916	4767	431
917	4772	426
918	4775	420
919	4780	415
920	4785	410
921	4790	405
922	4795	400
923	4799	394
924	4806	389
925	4810	384
926	4814	379
927	4819	373
928	4824	368
929	4829	363
930	4833	358
931	4838	353
932	4842	347
933	4846	342
934	4850	337
935	4853	331
936	4857	326
937	4861	321
938	4865	316
939	4868	310
940	4872	305
941	4876	300
942	4879	294
943	4882	289
944	4885	284
945	4888	279
946	4890	273
947	4893	268
948	4895	263
949	4898	257
950	4901	252
951	4904	247
952	4908	242
953	4911	236
954	4917	231
955	4920	226
956	4925	221
957	4928	216
958	4931	210
959	4935	205
960	4940	200
961	4946	195
962	4951	190
963	4954	185
964	4958	179
965	4961	174
966	4964	169
967	4967	164
968	4970	159
969	4973	153
970	4976	148
971	4980	143
972	4983	138
973	4986	133
974	4989	127
975	4991	122
976	4995	117
977	4999	112
978	5002	107
979	5005	102
980	5008	97
981	5012	91
982	5014	86
983	5017	81
984	5020	76
985	5023	71
986	5026	66
987	5029	61
988	5032	55
989	5035	50
990	5038	45
991	5040	40
992	5044	35
993	5047	30
994	5050	25
995	5052	20
996	5055	15
997	5058	10
998	5061	5
999	5065	0

979	5
999	5982	0
